Run: 456, exploration: 0, score: 540, time: 135.57292652130127
Run: 457, exploration: 0, score: 497, time: 135.88540649414062
Run: 458, exploration: 0, score: 233, time: 136.1856164932251
Run: 459, exploration: 0, score: 244, time: 136.496515750885
Run: 460, exploration: 0, score: 590, time: 136.80306553840637
Run: 461, exploration: 0, score: 403, time: 137.1287398338318
Run: 462, exploration: 0, score: 481, time: 137.4406259059906
Run: 463, exploration: 0, score: 366, time: 137.70450496673584
Run: 464, exploration: 0, score: 229, time: 138.04338550567627
Run: 465, exploration: 0, score: 446, time: 138.38368701934814
Run: 466, exploration: 0, score: 63, time: 138.660790681839
Run: 467, exploration: 0, score: 166, time: 138.92139530181885
Run: 468, exploration: 0, score: 420, time: 139.24874258041382
Run: 469, exploration: 0, score: 247, time: 139.55103993415833
Run: 470, exploration: 0, score: 420, time: 139.85583519935608
Run: 471, exploration: 0, score: 186, time: 140.12562894821167
Run: 472, exploration: 0, score: 109, time: 140.39544415473938
Run: 473, exploration: 0, score: 289, time: 140.70432829856873
Run: 474, exploration: 0, score: 506, time: 141.00150394439697
Run: 475, exploration: 0, score: 350, time: 141.2965497970581
Run: 476, exploration: 0, score: 457, time: 141.64635610580444
Run: 477, exploration: 0, score: 643, time: 141.96934962272644
Run: 478, exploration: 0, score: 413, time: 142.28732252120972
Run: 479, exploration: 0, score: 302, time: 142.60071992874146
Run: 480, exploration: 0, score: 268, time: 142.88723921775818
Run: 481, exploration: 0, score: 357, time: 143.19181203842163
